video_id,channel_title,video_publish_date,video_title,video_view_count,video_comment_count,video_like_count,video_dislike_count
u3Iqp1tzBJg,Real Engineering,2024-10-09 16:33:44+00:00,Hurricane Milton Has Put NASA’s Next Mission in Danger,95229,173,7156,
Dsk0aIRrHb4,Real Engineering,2024-10-05 13:05:00+00:00,The Problems with China's Space Program,1533866,4775,47884,
glr-0t9K92A,Real Engineering,2024-10-02 16:00:16+00:00,The Wildest Take-off of my Life,1307065,630,70556,
FGf6ab8fcyw,Real Engineering,2024-10-01 12:43:47+00:00,This is the Craziest Plane I Have Ever Seen,562559,318,24602,
QsYYNk-EeJA,Real Engineering,2024-09-07 13:00:25+00:00,This Plane Takes off with Rockets,526643,875,25660,
9iCKhW1d1go,Real Engineering,2024-09-03 13:05:16+00:00,She’s Wrong,133797,532,10514,
-45xHzAej_s,Real Engineering,2024-09-02 16:48:19+00:00,This Weird Noise Coming from Starliner,274137,632,12885,
tCDY1k1JGqw,Real Engineering,2024-08-07 12:30:30+00:00,Revolutionizing the Logistics of Spaceflight - Firefly Aerospace,534171,1158,18330,
EWtrzytNOTk,Real Engineering,2024-07-10 17:47:55+00:00,This Clock Helped Win the Battle of Britain,61014,29,3090,
G5uX1H3lyyI,Real Engineering,2024-07-06 13:00:13+00:00,How the F-117 was shot down,108683,180,5611,
KB4mH03feN4,Real Engineering,2024-07-05 13:00:17+00:00,How the F-117s Weapons Work,327543,248,21290,
IjJXHGZ2yTA,Real Engineering,2024-07-04 13:00:15+00:00,Why the F-117’s has Weird Exhausts,186812,174,12360,
Jb9Jx0KkJl8,Real Engineering,2024-07-03 13:00:27+00:00,The F-117’s weirdest feature,1204784,1050,59323,
LklUVkMPl8g,Real Engineering,2024-06-29 13:00:18+00:00,The Problem with Wind Energy,2768496,5805,73799,
rfcQDh9C5qM,Real Engineering,2024-06-12 13:00:54+00:00,Space Shuttle Astronaut Describes the Sound of Launch,2889642,1700,115503,
69MgN2j7Jwc,Real Engineering,2024-06-11 13:00:05+00:00,Solid Rocket Boosters Were A Bold Choice,1504492,954,62653,
SLdoQr2egkU,Real Engineering,2024-06-10 13:00:21+00:00,The final moments before launch,236564,135,10875,
1zjcnnx7igc,Real Engineering,2024-06-08 13:00:02+00:00,The Insane Engineering of the F-117 Nighthawk,3135681,2383,72995,
v8-bFqw9hFo,Real Engineering,2024-06-05 13:01:05+00:00,NASA has plans to build an even bigger space telescope,75300,102,4554,
EOJzpZ__9s8,Real Engineering,2024-06-02 16:38:45+00:00,Why the GameBoy won,62733,74,3473,
raCo7LpqKWc,Real Engineering,2024-05-26 13:00:45+00:00,Do Maglev Trains Make Sense in America?,579640,1578,32286,
orLpzaqjr6o,Real Engineering,2024-05-25 13:00:41+00:00,Japanese Trains Have Always Been One Step Ahead,66810,81,3581,
TyUUm7PjTKs,Real Engineering,2024-05-24 13:00:34+00:00,Why This Maglev Train is Unstable,356709,252,22543,
XtUQo-tN3Ps,Real Engineering,2024-05-23 15:07:45+00:00,Why This Japanese Train is Revolutionary,70944,108,4196,
I1ixCSAc3bc,Real Engineering,2024-05-06 12:05:09+00:00,The Worst Oil Disaster Ever,1164219,1335,42647,
nyG8XAmtYeQ,Real Engineering,2024-04-23 13:00:42+00:00,Why Airport Security Suddenly Got Better,1898005,2441,57721,
72yYvLLryus,Real Engineering,2024-04-22 18:32:26+00:00,The World’s First Intercity Maglev Train,1116476,1309,63744,
tdVa_o_a270,Real Engineering,2024-04-17 13:00:47+00:00,The Spitfire Guns Packed Some Serious Power,42223,31,2422,
R-qtEh-KluE,Real Engineering,2024-04-16 13:00:20+00:00,Spitfire vs. BF-109,110470,236,7878,
mFS70HPB7Ac,Real Engineering,2024-04-15 13:00:40+00:00,Why the Spitfire had an Elliptical Wing,394951,472,24659,
y9U8CyBD1wQ,Real Engineering,2024-04-13 17:13:20+00:00,The Spitfire is an Icon,67864,111,5247,
U0u_QyurfXA,Real Engineering,2024-04-13 16:45:31+00:00,How the Battle of Britain was Won,220898,177,14072,
Dr-HlIR481I,Real Engineering,2024-04-05 13:00:18+00:00,The F-35s Stealthy Radar is the key to its success,720289,965,49010,
WXfU18JizZM,Real Engineering,2024-04-04 13:00:26+00:00,The F-35s Secret Weapon is Incredible,9052378,8449,368823,
4bvMkkDw5Wg,Real Engineering,2024-04-03 13:00:04+00:00,How the F-35’s engine is better than the F-22’s,563260,620,30801,
j1nJ-A0coHI,Real Engineering,2024-04-02 13:00:38+00:00,Why the F-35 excels in battle,221971,524,14371,
EXag4nsWYoU,Real Engineering,2024-04-01 13:00:20+00:00,F-35 vertical take off is incredible,2019650,2243,100212,
BKm45Az02YE,Real Engineering,2024-03-30 13:00:09+00:00,The Insane Engineering of the Gameboy,2009223,2787,74981,
eaFyTIsowqY,Real Engineering,2024-03-20 18:39:26+00:00,Starship Reached Space. What Now?,1018315,3555,41433,
ngfGcyS-MTM,Real Engineering,2024-03-20 14:00:47+00:00,The F-16s Gun Sounds Amazing,16207449,5972,763520,
WMlZPHRImf0,Real Engineering,2024-03-19 14:00:33+00:00,How the F-16s Leading Edge Flap Works,195855,132,11995,
